Date,Variable1,Variable2,Variable3
2024/11/24,17,7,4
2024/11/25,18,12,8
2024/11/26,6,19,8
2024/11/27,10,8,20
2024/11/28,4,2,7
2024/11/29,1,10,20
2024/11/30,6,3,18
2024/12/01,1,19,12
2024/12/02,18,15,4
2024/12/03,19,6,14
2024/12/04,5,5,5
2024/12/05,3,19,20
2024/12/06,17,15,7
2024/12/07,4,19,12
2024/12/08,3,2,15
2024/12/09,11,13,19
2024/12/10,14,1,13
2024/12/11,17,10,4
2024/12/12,8,17,6
2024/12/13,10,3,8
2024/12/14,1,9,15
2024/12/15,11,20,12
2024/12/16,19,11,10
2024/12/17,12,17,12
2024/12/18,3,2,17
2024/12/19,3,1,8
2024/12/20,4,6,2
2024/12/21,4,3,19
2024/12/22,19,16,1
2024/12/23,15,4,10
2024/12/24,4,15,9
2024/12/25,18,6,19
2024/12/26,19,12,12
2024/12/27,15,20,20
2024/12/28,10,7,18
2024/12/29,2,7,16
2024/12/30,5,20,4
2024/12/31,11,7,11
2025/01/01,12,3,15
2025/01/02,9,7,16
2025/01/03,12,6,2
2025/01/04,3,6,13
2025/01/05,20,14,12
2025/01/06,17,10,8
2025/01/07,1,5,12
2025/01/08,1,14,14
2025/01/09,7,18,3
2025/01/10,20,4,2
2025/01/11,15,14,17
2025/01/12,11,20,2
2025/01/13,20,9,17
2025/01/14,9,14,2
2025/01/15,14,6,2
2025/01/16,3,17,13
2025/01/17,4,15,7
2025/01/18,3,6,9
2025/01/19,12,2,9
2025/01/20,14,6,14
2025/01/21,17,7,11
2025/01/22,9,13,20
2025/01/23,9,11,19
2025/01/24,20,15,1
2025/01/25,9,9,5
2025/01/26,3,8,1
2025/01/27,4,14,6
2025/01/28,13,6,16
2025/01/29,15,16,20
2025/01/30,1,11,16
2025/01/31,5,4,20
2025/02/01,4,11,13
2025/02/02,14,19,14
2025/02/03,12,4,11
2025/02/04,14,15,10
2025/02/05,14,19,17
2025/02/06,12,6,7
2025/02/07,17,5,4
2025/02/08,15,18,17
2025/02/09,17,6,1
2025/02/10,20,4,2
2025/02/11,2,6,19
2025/02/12,9,9,1
2025/02/13,1,5,12
2025/02/14,5,18,19
2025/02/15,7,2,19
2025/02/16,14,19,16
2025/02/17,8,2,16
2025/02/18,16,15,8
2025/02/19,10,18,13
2025/02/20,19,8,14
2025/02/21,9,12,19
2025/02/22,16,15,15
2025/02/23,12,17,15
2025/02/24,7,2,8
2025/02/25,16,18,13
2025/02/26,2,13,12
2025/02/27,13,15,13
2025/02/28,4,1,16
2025/03/01,19,3,12
2025/03/02,16,20,14
2025/03/03,4,15,15
2025/03/04,11,19,19
2025/03/05,13,12,5
2025/03/06,7,10,2
2025/03/07,4,15,18
2025/03/08,6,1,18
2025/03/09,12,13,17
2025/03/10,1,10,10
2025/03/11,12,19,17
2025/03/12,9,5,3
2025/03/13,11,8,16
2025/03/14,12,4,18
2025/03/15,6,17,7
2025/03/16,16,13,1
2025/03/17,9,6,7
2025/03/18,3,14,13
2025/03/19,20,17,16
2025/03/20,20,14,11
2025/03/21,15,19,3
2025/03/22,4,20,9
2025/03/23,4,18,7
2025/03/24,8,8,3
2025/03/25,10,18,1
2025/03/26,10,15,11
2025/03/27,10,4,13
2025/03/28,4,11,4
2025/03/29,15,11,10
2025/03/30,19,2,8
2025/03/31,13,17,17
2025/04/01,4,11,11
2025/04/02,10,19,5
2025/04/03,11,17,18
2025/04/04,14,3,4
2025/04/05,8,7,6
2025/04/06,8,10,7
2025/04/07,2,3,12
2025/04/08,13,13,3
2025/04/09,3,10,8
2025/04/10,3,5,20
2025/04/11,2,5,10
2025/04/12,6,10,1
2025/04/13,9,11,17
2025/04/14,5,13,18
2025/04/15,1,9,9
2025/04/16,12,2,20
2025/04/17,3,6,16
2025/04/18,6,8,17
2025/04/19,17,1,18
2025/04/20,9,2,11
2025/04/21,2,4,18
2025/04/22,18,19,4
2025/04/23,17,19,8
2025/04/24,4,9,10
2025/04/25,9,19,4
2025/04/26,5,8,8
2025/04/27,17,11,17
2025/04/28,4,19,3
2025/04/29,8,4,5
2025/04/30,4,13,5
2025/05/01,19,20,7
2025/05/02,18,14,1
2025/05/03,2,1,18
2025/05/04,19,11,6
2025/05/05,18,4,20
2025/05/06,3,7,15
2025/05/07,6,4,9
2025/05/08,6,7,3
2025/05/09,13,20,18
2025/05/10,13,3,16
2025/05/11,3,19,17
2025/05/12,16,19,9
2025/05/13,8,7,13
2025/05/14,8,12,8
2025/05/15,12,1,13
2025/05/16,18,5,1
2025/05/17,7,14,12
2025/05/18,8,10,12
2025/05/19,19,3,9
2025/05/20,12,2,1
2025/05/21,20,13,14
2025/05/22,18,16,14
2025/05/23,10,2,6
2025/05/24,15,13,16
2025/05/25,10,6,8
2025/05/26,19,7,19
2025/05/27,1,2,5
2025/05/28,10,11,15
2025/05/29,12,7,13
2025/05/30,18,7,6
2025/05/31,10,7,17
2025/06/01,1,7,5
2025/06/02,17,12,10
2025/06/03,11,19,5
2025/06/04,5,19,17
2025/06/05,4,19,19
2025/06/06,20,20,6
2025/06/07,9,3,15
2025/06/08,15,13,4
2025/06/09,1,10,17
2025/06/10,20,20,1
2025/06/11,9,9,18
2025/06/12,8,6,10
2025/06/13,14,12,19
2025/06/14,18,2,2
2025/06/15,1,12,17
2025/06/16,12,16,18
2025/06/17,5,13,13
2025/06/18,1,16,7
2025/06/19,11,13,20
2025/06/20,15,19,5
2025/06/21,19,14,4
2025/06/22,5,13,7
2025/06/23,4,10,5
2025/06/24,20,7,19
2025/06/25,8,5,20
2025/06/26,9,17,7
2025/06/27,14,9,13
2025/06/28,6,6,4
2025/06/29,1,16,15
2025/06/30,9,6,20
2025/07/01,16,6,18
2025/07/02,16,18,4
2025/07/03,12,1,4
2025/07/04,5,17,2
2025/07/05,8,17,20
2025/07/06,14,1,5
2025/07/07,11,11,8
2025/07/08,15,13,11
2025/07/09,18,1,11
2025/07/10,20,8,18
2025/07/11,4,20,19
2025/07/12,10,6,17
2025/07/13,19,5,1
2025/07/14,3,20,5
2025/07/15,20,5,3
2025/07/16,12,6,14
2025/07/17,19,13,2
2025/07/18,14,18,3
2025/07/19,2,20,3
2025/07/20,7,13,20
2025/07/21,11,7,13
2025/07/22,17,8,8
2025/07/23,17,17,14
2025/07/24,4,1,18
2025/07/25,18,16,20
2025/07/26,11,11,13
2025/07/27,10,4,18
2025/07/28,13,4,1
2025/07/29,14,17,2
2025/07/30,7,17,5
2025/07/31,7,10,11
2025/08/01,8,6,11
2025/08/02,9,17,1
2025/08/03,14,18,3
2025/08/04,8,10,2
2025/08/05,17,13,14
2025/08/06,16,16,20
2025/08/07,9,7,16
2025/08/08,4,15,18
2025/08/09,7,2,5
2025/08/10,18,5,8
2025/08/11,8,17,7
2025/08/12,3,5,10
2025/08/13,17,8,16
2025/08/14,19,15,19
2025/08/15,14,8,11
2025/08/16,5,3,19
2025/08/17,5,17,3
2025/08/18,13,16,18
2025/08/19,18,16,4
2025/08/20,2,19,20
2025/08/21,6,12,17
2025/08/22,2,15,13
2025/08/23,20,8,4
2025/08/24,20,3,14
2025/08/25,8,18,3
2025/08/26,10,4,4
2025/08/27,18,8,18
2025/08/28,10,14,13
2025/08/29,1,17,7
2025/08/30,20,6,11
2025/08/31,5,5,11
2025/09/01,18,14,6
2025/09/02,17,6,11
2025/09/03,4,20,9
2025/09/04,11,12,16
2025/09/05,2,9,5
2025/09/06,5,1,20
2025/09/07,5,18,6
2025/09/08,17,6,4
2025/09/09,17,5,8
2025/09/10,16,2,16
2025/09/11,11,6,16
2025/09/12,14,17,11
2025/09/13,9,7,20
2025/09/14,12,9,14
2025/09/15,7,20,8
2025/09/16,10,5,6
2025/09/17,16,11,8
2025/09/18,4,11,19
2025/09/19,20,4,8
2025/09/20,13,6,1
2025/09/21,19,10,13
2025/09/22,18,9,8
2025/09/23,11,18,9
2025/09/24,3,20,16
2025/09/25,2,9,5
2025/09/26,12,11,11
2025/09/27,4,2,17
2025/09/28,13,15,9
2025/09/29,5,6,17
2025/09/30,2,17,15
2025/10/01,18,4,1
2025/10/02,1,8,16
2025/10/03,8,2,13
2025/10/04,5,9,20
2025/10/05,4,1,3
